sub,lPPC_spaceloc,lPPC_distloc,lAPC_spaceloc,lAPC_distloc,rPPC_spaceloc,rPPC_distloc,rAPC_spaceloc,rAPC_distloc
1001.0,-0.011131826714396827,0.0162300618100525,0.0014322545959893763,0.02047019206318278,0.02012151250990662,0.027782469983058368,0.06177880428181111,0.042246178662969945
1002.0,0.02769592015044067,0.032800869211122526,0.03268365508473999,0.024859415014991025,0.01796380524942821,0.026139758954009447,0.04511479953485326,0.02660810726397684
1003.0,0.013440504945617356,0.017130077804241695,0.007958778427334058,0.015884086486748192,0.020082779163878635,0.022776005013567788,0.030196038774785484,0.013527204261763539
1004.0,0.03855530710247623,0.007432886664110728,0.038678607013591104,-0.0028981175365095364,0.02464168832324402,0.024950952384659636,0.0013416312696199883,0.007101730984531438
1005.0,0.02810979636443599,0.016392192642427535,0.026938887785793845,-0.004367183736080257,0.04113308770185035,0.029058571365467797,0.020833966037902243,-0.015283378815697574
1006.0,0.016632657979831482,0.006991244546454366,0.021679937713021277,0.015618681853714327,0.02568020188917858,0.026518934653999293,0.03612038158087285,0.03383168947388696
1007.0,-0.01126385862238026,0.00671165119481752,0.030696236813655835,0.0003664685990177658,0.015163727000380552,0.020038749856404515,0.038296271395539004,-0.004503025188007889
1008.0,0.009336169111211042,0.032560568413513846,0.007283338461306536,-0.0006275868327897838,0.0051289458989373015,0.016407650137003897,0.026254908025117464,0.024205019481627135
1009.0,0.06164794040460736,0.010990452200510977,0.042739278938631976,0.024760191685117457,0.027016539254001923,0.017534196711217528,0.04474908953669794,0.04023454177918074
1010.0,0.034876116503719135,0.024180450399593413,0.03490102039544082,-0.012272362396572268,0.030134151493210252,0.020310797417878893,0.03705596196418216,0.030887092606693336
1011.0,0.0487473174368389,0.041097668709438755,0.05572826709664269,0.04269819861760011,0.08076259482743964,0.042345371782413224,0.061380189239564203,0.03225044417614279
1012.0,-0.01179817936770206,-0.008527402175491052,-0.0030611652059976658,0.004675924137780124,0.02555991221882775,0.001413014183860285,0.009331405757814217,0.018184192261703647
