sub,lPPC_spaceloc,lAPC_spaceloc,lAPC_distloc,lAPC_toolloc,rPPC_spaceloc,rAPC_spaceloc,rAPC_distloc,rAPC_toolloc
1001.0,-0.006264447212239027,-0.00189896603341582,0.010676317665599762,0.008583327460189815,0.006597309895811928,0.02000371140009426,0.01972245759973687,0.02218733405151422
1002.0,0.004874311160265937,0.01180450920502653,0.009670740970216744,0.012672114482103316,0.0026585377551170256,0.016167872399331328,0.00942039454308508,0.01810997771942812
1003.0,0.010893244297817718,0.00606870684487731,0.00977968182232977,0.009110468761444635,0.01709432562184667,0.017802281492287016,0.009625962522533551,0.030131657963351804
1004.0,0.01985735955181462,0.020287909119427062,0.001377086814144445,0.0017429721960358635,0.01209243380646801,0.0013274266168296046,0.004659307769466873,0.0016597380811768192
1005.0,0.014339522460998835,0.012412542601665813,0.004916558553678876,0.017379351376485757,0.020366590506237656,0.004796560903020745,-0.0035241075051960567,0.005695845985190964
1006.0,0.012354879662035806,0.017004808162702393,0.011972685118980801,0.017075258848424684,0.015035594557442999,0.024676889363717713,0.02516378532647726,0.007184414638976263
1007.0,-0.006843303178818499,0.02006009686172713,-0.0006983577022793987,-0.007499838497983629,0.01185839210929751,0.025697035265322708,-0.0021633908101373043,0.026916575365506925
1008.0,0.012761460353841675,0.010758996106556572,0.00448310997132018,0.006193638973043034,0.005110806597305257,0.021539669445754542,0.016237258356456515,0.008630765317545188
1009.0,0.0340035299094891,0.020584831767285892,0.007786167878821184,0.042656618617273316,0.020317548021999088,0.03091570259628365,0.0229900955218692,0.04468786410552377
1010.0,0.021593415398069804,0.025116210252155765,-0.00859241658882877,-0.03958302833787902,0.018132984779840575,0.023320448606061805,0.018965251897499827,0.007928439127956217
1011.0,0.026716757505256598,0.02383153995434075,0.0167663999345401,0.0365221672408513,0.04116655254376064,0.02902575291741596,0.015512722625507366,0.05322496591572767
1012.0,-0.023715252078417275,0.0013850952003419217,0.008728618914583385,0.02670662494964042,0.03823449371394521,0.023050860808268334,0.030178451161907614,0.02565411490257213
2013.0,0.004629075841128187,0.01418669968257869,0.012557552347886806,0.02034085107205913,-0.010346806038830259,0.012809383046141994,0.03059205450348707,
2014.0,0.01997556983079235,0.025652731254918227,0.02279152806642324,0.011363639042792889,0.012698019065919658,0.01841810362198625,0.018903878040437694,
2015.0,0.01104431240940134,0.012627510633621964,0.013932925660447518,0.009325633703168915,0.02111877494321032,0.01660267861103981,0.01747993442275339,
2016.0,0.03469702472470079,0.016348345619509787,0.009982900874006478,-2.2331085832779523e-06,0.039613295674308206,0.030846175020238252,0.029506209855763407,
2017.0,0.015241064806930184,0.03363400333165774,0.004834119749926224,0.007317590026709145,0.012991673116500376,0.01361634619149707,0.010585627955121924,
2018.0,0.026286302365205176,0.027193222190958814,0.007537327429414899,0.01471940643030735,0.023193666583713066,0.03116319605989184,0.010325816732461076,
