sub,rPPC_spaceloc,rAPC_spaceloc,lPPC_spaceloc,lAPC_spaceloc,lAPC_distloc
2001.0,0.4609611848292144,0.5072725414363773,0.45828654849107936,0.4582866449597377,0.49433862774698006
2002.0,0.8294782194560839,0.4587702322968147,0.45363903732896865,0.4116263134110801,0.5656180693181768
2003.0,0.6534040447748461,0.6064740222696128,,,0.7064841252494545
2004.0,0.6761082912971171,0.6037832368827818,0.5208041074513369,0.4078088573890356,0.4394680074749695
2005.0,0.8214177727603279,0.5221413818698284,0.6476629553656845,0.6162359714730594,0.5209465435255599
2007.0,0.4626759531102348,0.357947771580539,0.6159277294274116,0.5073876721004051,0.324588548718429
2008.0,0.585567204318135,0.46107541783429157,0.426751429976724,0.16799887190330193,0.1708802879315561
2012.0,0.2905111084262946,0.2812923110292825,,,0.2738269428471799
2013.0,0.41597029788302514,0.6410631624120704,0.5283337830753501,0.5939789973204541,0.6020339400305106
2014.0,0.7758864856974893,0.6982518488314996,0.701847395723586,0.4814171415083965,0.6687961096723238
2015.0,0.9502298960403147,0.4776484329041335,0.8016891830478156,0.5546238164310843,0.7181241621528898
2016.0,0.7150723588392873,0.48380820241371264,0.575845429551414,0.5758448709510271,0.5889219836799807
