sub,rPPC_spaceloc,rAPC_spaceloc,lPPC_spaceloc,lAPC_spaceloc
2001.0,0.558552744277201,0.5602652754476205,0.5572438482667421,0.5572475126550279
2002.0,0.747763236699875,0.421400221439042,0.4251779742451375,0.41837786068901145
2003.0,0.7029960001367701,0.6695879866007312,,
2004.0,0.7424601563651717,0.6790773728485324,0.7085439761453152,0.5007199431134409
2005.0,0.6805052528653901,0.470930935866244,0.6218378763565393,0.5904584929713083
2007.0,0.47719327513802684,0.36718865142296414,0.627415978609323,0.5325111412459586
2008.0,0.677618480993715,0.5592705883264285,0.5457656502360316,0.2595828647543147
2012.0,0.6445656977773816,0.5799447250644266,,
2013.0,0.4163661809340928,0.5739131961070202,0.5035387749544568,0.5319059245184745
2014.0,0.8865922933407017,0.8265922375689401,0.8150301405173226,0.5671363026651619
2015.0,0.6880189627292423,0.4429480437767292,0.7925762812600697,0.574765604561705
2016.0,0.8024183847928762,0.5388996069153897,0.6859307109145384,0.6859295854307518
2017.0,0.5227114424364292,0.5054624454702635,0.4660915436811306,0.4660949402627204
2018.0,0.3976391089933135,0.42221456533921714,0.38627832916127325,0.38089348249482013
