sub,lLO_toolloc,lPFS_toolloc,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPFS_toolloc,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.265,0.23500000000000001,0.26,0.29500000000000004,0.16999999999999998,0.08000000000000002,0.3,0.14500000000000005,0.3,0.26000000000000006,0.24500000000000002,0.42000000000000004,0.375,0.29500000000000004,0.13500000000000004,0.12000000000000002,0.25,0.27999999999999997,0.22000000000000003,0.13499999999999998
docnet2002,0.275,0.24499999999999994,0.25,0.16999999999999998,0.45499999999999996,0.17500000000000004,0.565,0.21000000000000002,0.16,0.165,0.43500000000000005,0.31,0.23000000000000004,0.19000000000000003,0.22000000000000003,,0.22000000000000003,0.14500000000000002,0.18500000000000003,0.25000000000000006
docnet2003,0.32999999999999996,0.335,,,,0.27499999999999997,0.3,0.24999999999999994,0.155,0.13,0.39,0.23499999999999996,0.35500000000000004,0.20999999999999996,0.32999999999999996,0.29,0.34,0.37500000000000006,0.325,0.21000000000000002
docnet2004,0.32999999999999996,0.21000000000000002,0.23500000000000001,0.2,,0.18,0.375,0.125,0.265,0.16999999999999998,0.15500000000000003,0.18000000000000002,0.29,0.255,,,0.33,0.19500000000000003,0.41,0.255
docnet2005,0.22500000000000003,0.26,0.13000000000000003,0.14000000000000004,,,0.13500000000000004,0.095,0.16,0.17500000000000004,0.145,0.24500000000000002,0.24,0.29500000000000004,0.13500000000000004,,0.24500000000000002,,0.17500000000000002,0.16
docnet2007,0.32500000000000007,0.205,0.255,0.15000000000000005,,0.21000000000000002,0.34500000000000003,0.15000000000000005,0.28,0.21500000000000002,0.3,0.22000000000000003,0.395,0.28500000000000003,0.26999999999999996,0.255,0.39,0.155,0.41000000000000003,0.205
docnet2008,0.29000000000000004,0.2,0.12000000000000002,0.13000000000000003,,,,0.18,,,0.16000000000000003,0.21000000000000002,0.18000000000000005,0.255,,,0.11500000000000003,0.05,,
docnet2012,0.24999999999999994,0.19,,,,0.11000000000000001,0.2,0.13500000000000004,0.16000000000000003,0.10500000000000001,0.225,0.20500000000000002,0.22999999999999998,0.23500000000000001,,0.135,0.095,0.1,,
docnet2013,0.225,0.25,0.25,0.12000000000000002,0.21000000000000002,0.085,0.36,0.13500000000000004,0.15000000000000002,0.13,0.15000000000000002,,0.18,0.095,0.385,0.07500000000000001,0.30500000000000005,0.08000000000000002,0.365,
docnet2014,0.29500000000000004,0.2700000000000001,0.24,0.15000000000000005,,,0.355,0.29000000000000004,,,0.21999999999999997,0.28500000000000003,0.6599999999999999,0.3000000000000001,,,0.2,0.425,,
docnet2015,0.215,0.24000000000000005,0.3950000000000001,0.23499999999999996,0.48500000000000004,0.325,0.43,0.26999999999999996,0.26000000000000006,0.21000000000000002,0.36500000000000005,0.265,0.355,0.195,0.38,0.13500000000000004,0.425,0.21999999999999997,0.2,0.29000000000000004
docnet2016,0.22999999999999998,0.039999999999999994,0.255,0.21000000000000002,,,0.28500000000000003,0.16500000000000004,0.36500000000000005,,0.225,0.15999999999999998,0.265,0.15000000000000002,,,0.33999999999999997,0.13000000000000003,,
docnet2017,0.195,0.20000000000000004,0.23500000000000001,0.08500000000000002,,,0.20000000000000004,0.29500000000000004,0.22000000000000003,0.21000000000000002,0.315,0.20000000000000004,0.20000000000000004,0.215,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.31,,
docnet2018,0.255,0.20000000000000004,0.195,0.195,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.265,0.2700000000000001,0.185,0.36,0.20000000000000004,0.38,0.31999999999999995,,,0.20000000000000004,0.31999999999999995,0.21999999999999997,0.29
