obj1,obj2,similarity
boat_1,boat_2_30,7.332421148650775
boat_1,boat_3_30,9.251794405291154
boat_1,boat_4_30,9.72530865135007
boat_1,boat_5_30,14.658011213468708
boat_1,camera_1_30,38.91392121854529
boat_1,camera_2_30,26.14409403588472
boat_1,camera_3_30,21.279056907431475
boat_1,camera_4_30,26.636415541087942
boat_1,camera_5_30,15.536074923970308
boat_1,car_1_30,13.358394807469368
boat_1,car_2_30,13.143464508239282
boat_1,car_3_30,11.896565769366948
boat_1,car_4_30,5.455690045430368
boat_1,car_5_30,9.684720119448377
boat_1,guitar_1_30,37.61651546080326
boat_1,guitar_2_30,39.911601404398446
boat_1,guitar_3_30,41.012933237752
boat_1,guitar_4_30,41.16865316415584
boat_1,guitar_5_30,43.25801649412222
boat_1,lamp_1_30,37.76166100036369
boat_1,lamp_2_30,45.219593680674464
boat_1,lamp_3_30,36.87245488600202
boat_1,lamp_4_30,50.018650413280795
boat_1,lamp_5_30,45.77911200821082
boat_2,boat_3_30,10.878460522158854
boat_2,boat_4_30,8.772416351808936
boat_2,boat_5_30,12.335068071509863
boat_2,camera_1_30,40.71365914947647
boat_2,camera_2_30,30.49727948616936
boat_2,camera_3_30,27.060871985809925
boat_2,camera_4_30,29.5483272752423
boat_2,camera_5_30,18.644635452703298
boat_2,car_1_30,17.28889057150225
boat_2,car_2_30,19.347478256659144
boat_2,car_3_30,18.712738791710873
boat_2,car_4_30,12.722863005335139
boat_2,car_5_30,14.875253140265386
boat_2,guitar_1_30,32.365021656363396
boat_2,guitar_2_30,36.59367847255207
boat_2,guitar_3_30,35.91537263283716
boat_2,guitar_4_30,37.37327588557592
boat_2,guitar_5_30,37.71138025146105
boat_2,lamp_1_30,31.576078382814536
boat_2,lamp_2_30,43.83545919586965
boat_2,lamp_3_30,36.34840403509628
boat_2,lamp_4_30,45.708397871496665
boat_2,lamp_5_30,42.23325509713672
boat_3,boat_4_30,9.446072352037705
boat_3,boat_5_30,14.222376402602215
boat_3,camera_1_30,36.940577381356206
boat_3,camera_2_30,25.33897087936296
boat_3,camera_3_30,22.982737803047833
boat_3,camera_4_30,26.5123506783428
boat_3,camera_5_30,21.8465302044399
boat_3,car_1_30,17.789817227163056
boat_3,car_2_30,16.277806585690264
boat_3,car_3_30,16.783638638741852
boat_3,car_4_30,10.875856701862107
boat_3,car_5_30,13.93151435361517
boat_3,guitar_1_30,43.61238686153568
boat_3,guitar_2_30,47.00439309773729
boat_3,guitar_3_30,48.468944711256356
boat_3,guitar_4_30,48.35939651828171
boat_3,guitar_5_30,49.494085143274205
boat_3,lamp_1_30,42.61747846074941
boat_3,lamp_2_30,47.62033539085407
boat_3,lamp_3_30,43.06441355092471
boat_3,lamp_4_30,54.290486112627285
boat_3,lamp_5_30,47.379261803110595
boat_4,boat_5_30,12.959836535902832
boat_4,camera_1_30,33.71454721444226
boat_4,camera_2_30,24.627428052661443
boat_4,camera_3_30,22.41894758307235
boat_4,camera_4_30,24.66615064399906
boat_4,camera_5_30,18.74042841495829
boat_4,car_1_30,17.693617984364245
boat_4,car_2_30,15.548263357947086
boat_4,car_3_30,13.973337080678252
boat_4,car_4_30,12.629743987173612
boat_4,car_5_30,12.293572700248468
boat_4,guitar_1_30,32.77051570518874
boat_4,guitar_2_30,35.841862070283085
boat_4,guitar_3_30,34.551003740895155
boat_4,guitar_4_30,36.88987182765244
boat_4,guitar_5_30,37.66834054528415
boat_4,lamp_1_30,29.766571644679
boat_4,lamp_2_30,38.99394323114565
boat_4,lamp_3_30,36.19182420311713
boat_4,lamp_4_30,44.110751884794084
boat_4,lamp_5_30,38.23192177784114
boat_5,camera_1_30,30.410189515595157
boat_5,camera_2_30,22.287071653283384
boat_5,camera_3_30,22.571999468441057
boat_5,camera_4_30,24.389367100586604
boat_5,camera_5_30,16.051365775809902
boat_5,car_1_30,17.859011633447988
boat_5,car_2_30,19.065172863489728
boat_5,car_3_30,18.220860518230708
boat_5,car_4_30,17.502845090397074
boat_5,car_5_30,15.878409578315905
boat_5,guitar_1_30,28.320844570673838
boat_5,guitar_2_30,31.317155351140606
boat_5,guitar_3_30,30.186656575169433
boat_5,guitar_4_30,32.53021426821897
