,stim1,stim2,similarity
0,boat_1_30.jpg,boat_2_30.jpg,0.89348197
1,boat_1_30.jpg,boat_3_30.jpg,0.78361833
2,boat_1_30.jpg,boat_4_30.jpg,0.8328149
3,boat_1_30.jpg,boat_5_30.jpg,0.76425946
4,boat_1_30.jpg,camera_1_30.jpg,0.7046102
5,boat_1_30.jpg,camera_2_30.jpg,0.7529656
6,boat_1_30.jpg,camera_3_30.jpg,0.711639
7,boat_1_30.jpg,camera_4_30.jpg,0.70137274
8,boat_1_30.jpg,camera_5_30.jpg,0.7211361
9,boat_1_30.jpg,car_1_30.jpg,0.76497495
10,boat_1_30.jpg,car_2_30.jpg,0.7525235
11,boat_1_30.jpg,car_3_30.jpg,0.79333556
12,boat_1_30.jpg,car_4_30.jpg,0.8055938
13,boat_1_30.jpg,car_5_30.jpg,0.77743566
14,boat_1_30.jpg,guitar_1_30.jpg,0.69604814
15,boat_1_30.jpg,guitar_2_30.jpg,0.7036744
16,boat_1_30.jpg,guitar_3_30.jpg,0.7017545
17,boat_1_30.jpg,guitar_4_30.jpg,0.7308543
18,boat_1_30.jpg,guitar_5_30.jpg,0.68862575
19,boat_1_30.jpg,lamp_1_30.jpg,0.74913347
20,boat_1_30.jpg,lamp_2_30.jpg,0.7036104
21,boat_1_30.jpg,lamp_3_30.jpg,0.6906134
22,boat_1_30.jpg,lamp_4_30.jpg,0.7141742
23,boat_1_30.jpg,lamp_5_30.jpg,0.6962876
24,boat_2_30.jpg,boat_3_30.jpg,0.8640571
25,boat_2_30.jpg,boat_4_30.jpg,0.8500235
26,boat_2_30.jpg,boat_5_30.jpg,0.8583503
27,boat_2_30.jpg,camera_1_30.jpg,0.8022204
28,boat_2_30.jpg,camera_2_30.jpg,0.8117719
29,boat_2_30.jpg,camera_3_30.jpg,0.7921022
30,boat_2_30.jpg,camera_4_30.jpg,0.74958324
31,boat_2_30.jpg,camera_5_30.jpg,0.76673126
32,boat_2_30.jpg,car_1_30.jpg,0.81165445
33,boat_2_30.jpg,car_2_30.jpg,0.8070064
34,boat_2_30.jpg,car_3_30.jpg,0.8165437
35,boat_2_30.jpg,car_4_30.jpg,0.82906383
36,boat_2_30.jpg,car_5_30.jpg,0.82022893
37,boat_2_30.jpg,guitar_1_30.jpg,0.7861031
38,boat_2_30.jpg,guitar_2_30.jpg,0.7856593
39,boat_2_30.jpg,guitar_3_30.jpg,0.7852355
40,boat_2_30.jpg,guitar_4_30.jpg,0.80892485
41,boat_2_30.jpg,guitar_5_30.jpg,0.79123574
42,boat_2_30.jpg,lamp_1_30.jpg,0.8057126
43,boat_2_30.jpg,lamp_2_30.jpg,0.81129956
44,boat_2_30.jpg,lamp_3_30.jpg,0.7859805
45,boat_2_30.jpg,lamp_4_30.jpg,0.7890132
46,boat_2_30.jpg,lamp_5_30.jpg,0.80434525
47,boat_3_30.jpg,boat_4_30.jpg,0.8485116
48,boat_3_30.jpg,boat_5_30.jpg,0.79539776
49,boat_3_30.jpg,camera_1_30.jpg,0.8506991
50,boat_3_30.jpg,camera_2_30.jpg,0.80850995
51,boat_3_30.jpg,camera_3_30.jpg,0.7450123
52,boat_3_30.jpg,camera_4_30.jpg,0.7721546
53,boat_3_30.jpg,camera_5_30.jpg,0.74655724
54,boat_3_30.jpg,car_1_30.jpg,0.80806017
55,boat_3_30.jpg,car_2_30.jpg,0.84381795
56,boat_3_30.jpg,car_3_30.jpg,0.7953479
57,boat_3_30.jpg,car_4_30.jpg,0.85828984
58,boat_3_30.jpg,car_5_30.jpg,0.7913248
59,boat_3_30.jpg,guitar_1_30.jpg,0.7405656
60,boat_3_30.jpg,guitar_2_30.jpg,0.72462094
61,boat_3_30.jpg,guitar_3_30.jpg,0.7450961
62,boat_3_30.jpg,guitar_4_30.jpg,0.74537843
63,boat_3_30.jpg,guitar_5_30.jpg,0.73709327
64,boat_3_30.jpg,lamp_1_30.jpg,0.757348
65,boat_3_30.jpg,lamp_2_30.jpg,0.7487259
66,boat_3_30.jpg,lamp_3_30.jpg,0.7441674
67,boat_3_30.jpg,lamp_4_30.jpg,0.72671914
68,boat_3_30.jpg,lamp_5_30.jpg,0.7771334
69,boat_4_30.jpg,boat_5_30.jpg,0.84005094
70,boat_4_30.jpg,camera_1_30.jpg,0.8266433
71,boat_4_30.jpg,camera_2_30.jpg,0.84502524
72,boat_4_30.jpg,camera_3_30.jpg,0.7981221
73,boat_4_30.jpg,camera_4_30.jpg,0.843747
74,boat_4_30.jpg,camera_5_30.jpg,0.83395153
75,boat_4_30.jpg,car_1_30.jpg,0.8138998
76,boat_4_30.jpg,car_2_30.jpg,0.79499626
77,boat_4_30.jpg,car_3_30.jpg,0.8353154
78,boat_4_30.jpg,car_4_30.jpg,0.87638146
79,boat_4_30.jpg,car_5_30.jpg,0.8042577
80,boat_4_30.jpg,guitar_1_30.jpg,0.70944047
81,boat_4_30.jpg,guitar_2_30.jpg,0.7471338
82,boat_4_30.jpg,guitar_3_30.jpg,0.75760037
83,boat_4_30.jpg,guitar_4_30.jpg,0.7458169
84,boat_4_30.jpg,guitar_5_30.jpg,0.70230794
85,boat_4_30.jpg,lamp_1_30.jpg,0.7919732
86,boat_4_30.jpg,lamp_2_30.jpg,0.7342379
87,boat_4_30.jpg,lamp_3_30.jpg,0.78903925
88,boat_4_30.jpg,lamp_4_30.jpg,0.74585927
89,boat_4_30.jpg,lamp_5_30.jpg,0.75477475
90,boat_5_30.jpg,camera_1_30.jpg,0.79831165
91,boat_5_30.jpg,camera_2_30.jpg,0.7980822
92,boat_5_30.jpg,camera_3_30.jpg,0.78891665
93,boat_5_30.jpg,camera_4_30.jpg,0.74368733
94,boat_5_30.jpg,camera_5_30.jpg,0.7857319
95,boat_5_30.jpg,car_1_30.jpg,0.7569197
96,boat_5_30.jpg,car_2_30.jpg,0.7531939
97,boat_5_30.jpg,car_3_30.jpg,0.77004504
98,boat_5_30.jpg,car_4_30.jpg,0.7972483
99,boat_5_30.jpg,car_5_30.jpg,0.7613217
100,boat_5_30.jpg,guitar_1_30.jpg,0.75834644
101,boat_5_30.jpg,guitar_2_30.jpg,0.77472603
102,boat_5_30.jpg,guitar_3_30.jpg,0.77695376
