stim1,stim2,similarity
boat_1_30.jpg,boat_2_30.jpg,0.89348185
boat_1_30.jpg,boat_3_30.jpg,0.7836183
boat_1_30.jpg,boat_4_30.jpg,0.8328149
boat_1_30.jpg,boat_5_30.jpg,0.76425964
boat_1_30.jpg,camera_1_30.jpg,0.70461017
boat_1_30.jpg,camera_2_30.jpg,0.7529656
boat_1_30.jpg,camera_3_30.jpg,0.711639
boat_1_30.jpg,camera_4_30.jpg,0.70137286
boat_1_30.jpg,camera_5_30.jpg,0.7211362
boat_1_30.jpg,car_1_30.jpg,0.764975
boat_1_30.jpg,car_2_30.jpg,0.75252336
boat_1_30.jpg,car_3_30.jpg,0.7933357
boat_1_30.jpg,car_4_30.jpg,0.8055939
boat_1_30.jpg,car_5_30.jpg,0.7774356
boat_1_30.jpg,guitar_1_30.jpg,0.69604814
boat_1_30.jpg,guitar_2_30.jpg,0.70367426
boat_1_30.jpg,guitar_3_30.jpg,0.7017544
boat_1_30.jpg,guitar_4_30.jpg,0.7308541
boat_1_30.jpg,guitar_5_30.jpg,0.6886254
boat_1_30.jpg,lamp_1_30.jpg,0.7491334
boat_1_30.jpg,lamp_2_30.jpg,0.7036103
boat_1_30.jpg,lamp_3_30.jpg,0.69061315
boat_1_30.jpg,lamp_4_30.jpg,0.71417403
boat_1_30.jpg,lamp_5_30.jpg,0.6962874
boat_2_30.jpg,boat_3_30.jpg,0.86405694
boat_2_30.jpg,boat_4_30.jpg,0.8500233
boat_2_30.jpg,boat_5_30.jpg,0.8583503
boat_2_30.jpg,camera_1_30.jpg,0.80222034
boat_2_30.jpg,camera_2_30.jpg,0.8117718
boat_2_30.jpg,camera_3_30.jpg,0.792102
boat_2_30.jpg,camera_4_30.jpg,0.74958324
boat_2_30.jpg,camera_5_30.jpg,0.7667312
boat_2_30.jpg,car_1_30.jpg,0.8116544
boat_2_30.jpg,car_2_30.jpg,0.8070063
boat_2_30.jpg,car_3_30.jpg,0.8165436
boat_2_30.jpg,car_4_30.jpg,0.82906383
boat_2_30.jpg,car_5_30.jpg,0.8202289
boat_2_30.jpg,guitar_1_30.jpg,0.7861031
boat_2_30.jpg,guitar_2_30.jpg,0.78565913
boat_2_30.jpg,guitar_3_30.jpg,0.7852354
boat_2_30.jpg,guitar_4_30.jpg,0.8089246
boat_2_30.jpg,guitar_5_30.jpg,0.7912355
boat_2_30.jpg,lamp_1_30.jpg,0.8057125
boat_2_30.jpg,lamp_2_30.jpg,0.81129956
boat_2_30.jpg,lamp_3_30.jpg,0.78598046
boat_2_30.jpg,lamp_4_30.jpg,0.7890131
boat_2_30.jpg,lamp_5_30.jpg,0.80434513
boat_3_30.jpg,boat_4_30.jpg,0.84851134
boat_3_30.jpg,boat_5_30.jpg,0.7953978
boat_3_30.jpg,camera_1_30.jpg,0.85069925
boat_3_30.jpg,camera_2_30.jpg,0.80850995
boat_3_30.jpg,camera_3_30.jpg,0.74501234
boat_3_30.jpg,camera_4_30.jpg,0.77215457
boat_3_30.jpg,camera_5_30.jpg,0.74655724
boat_3_30.jpg,car_1_30.jpg,0.8080603
boat_3_30.jpg,car_2_30.jpg,0.8438181
