,stim1,stim2,similarity
76,boat_4_30.jpg,car_2_30.jpg,0.99998564
77,boat_4_30.jpg,car_3_30.jpg,0.99975467
78,boat_4_30.jpg,car_4_30.jpg,0.9998498
79,boat_4_30.jpg,car_5_30.jpg,0.9993868
80,boat_4_30.jpg,guitar_1_30.jpg,0.9998878
81,boat_4_30.jpg,guitar_2_30.jpg,0.99996334
82,boat_4_30.jpg,guitar_3_30.jpg,0.9999575
83,boat_4_30.jpg,guitar_4_30.jpg,0.99992955
84,boat_4_30.jpg,guitar_5_30.jpg,0.99993134
85,boat_4_30.jpg,lamp_1_30.jpg,0.999587
86,boat_4_30.jpg,lamp_2_30.jpg,0.99952835
87,boat_4_30.jpg,lamp_3_30.jpg,0.99930924
88,boat_4_30.jpg,lamp_4_30.jpg,0.99884254
89,boat_4_30.jpg,lamp_5_30.jpg,0.99939984
90,boat_5_30.jpg,camera_1_30.jpg,0.9991085
91,boat_5_30.jpg,camera_2_30.jpg,0.057675857
92,boat_5_30.jpg,camera_3_30.jpg,0.057675857
93,boat_5_30.jpg,camera_4_30.jpg,0.9988646
94,boat_5_30.jpg,camera_5_30.jpg,0.057675857
95,boat_5_30.jpg,car_1_30.jpg,0.9998558
96,boat_5_30.jpg,car_2_30.jpg,0.99997765
97,boat_5_30.jpg,car_3_30.jpg,0.9997297
98,boat_5_30.jpg,car_4_30.jpg,0.99986446
99,boat_5_30.jpg,car_5_30.jpg,0.9993499
100,boat_5_30.jpg,guitar_1_30.jpg,0.9998793
101,boat_5_30.jpg,guitar_2_30.jpg,0.9999711
102,boat_5_30.jpg,guitar_3_30.jpg,0.9999664
103,boat_5_30.jpg,guitar_4_30.jpg,0.9999261
104,boat_5_30.jpg,guitar_5_30.jpg,0.9999273
105,boat_5_30.jpg,lamp_1_30.jpg,0.9995609
106,boat_5_30.jpg,lamp_2_30.jpg,0.9995014
107,boat_5_30.jpg,lamp_3_30.jpg,0.9992786
108,boat_5_30.jpg,lamp_4_30.jpg,0.998793
109,boat_5_30.jpg,lamp_5_30.jpg,0.9993666
110,camera_1_30.jpg,camera_2_30.jpg,0.015846424
111,camera_1_30.jpg,camera_3_30.jpg,0.015846424
112,camera_1_30.jpg,camera_4_30.jpg,0.9999132
113,camera_1_30.jpg,camera_5_30.jpg,0.015846424
114,camera_1_30.jpg,car_1_30.jpg,0.99830294
115,camera_1_30.jpg,car_2_30.jpg,0.9988654
116,camera_1_30.jpg,car_3_30.jpg,0.9978891
117,camera_1_30.jpg,car_4_30.jpg,0.99963194
118,camera_1_30.jpg,car_5_30.jpg,0.9969716
119,camera_1_30.jpg,guitar_1_30.jpg,0.9984065
120,camera_1_30.jpg,guitar_2_30.jpg,0.99917984
121,camera_1_30.jpg,guitar_3_30.jpg,0.9991841
122,camera_1_30.jpg,guitar_4_30.jpg,0.99863464
123,camera_1_30.jpg,guitar_5_30.jpg,0.9986245
124,camera_1_30.jpg,lamp_1_30.jpg,0.99747205
125,camera_1_30.jpg,lamp_2_30.jpg,0.99731475
126,camera_1_30.jpg,lamp_3_30.jpg,0.99683595
127,camera_1_30.jpg,lamp_4_30.jpg,0.9959053
128,camera_1_30.jpg,lamp_5_30.jpg,0.9970062
129,camera_2_30.jpg,camera_3_30.jpg,1.0
130,camera_2_30.jpg,camera_4_30.jpg,0.011242695
131,camera_2_30.jpg,camera_5_30.jpg,1.0
132,camera_2_30.jpg,car_1_30.jpg,0.07389178
133,camera_2_30.jpg,car_2_30.jpg,0.06308201
134,camera_2_30.jpg,car_3_30.jpg,0.08053312
135,camera_2_30.jpg,car_4_30.jpg,0.04182948
136,camera_2_30.jpg,car_5_30.jpg,0.09334875
137,camera_2_30.jpg,guitar_1_30.jpg,0.0717756
138,camera_2_30.jpg,guitar_2_30.jpg,0.055417866
139,camera_2_30.jpg,guitar_3_30.jpg,0.055134676
140,camera_2_30.jpg,guitar_4_30.jpg,0.06740645
141,camera_2_30.jpg,guitar_5_30.jpg,0.067673214
142,camera_2_30.jpg,lamp_1_30.jpg,0.08668721
143,camera_2_30.jpg,lamp_2_30.jpg,0.088802375
144,camera_2_30.jpg,lamp_3_30.jpg,0.094891615
145,camera_2_30.jpg,lamp_4_30.jpg,0.10595987
146,camera_2_30.jpg,lamp_5_30.jpg,0.092919275
