stim1,stim2,lLO_toolloc,lPFS_toolloc,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lPPC_distloc,lAPC_depthloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPFS_toolloc,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rPPC_distloc,rAPC_depthloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc,cornet_s,skel,gbj,lLO_toolloc_standard,rPPC_spaceloc_standard,cornet_s_stnad,skel_stand,gbj_stand
boat_1,boat_2,1.086828548,0.916692099,0.754504945,1.163400099,0.887354923,1.210465986,0.989637252,1.160386414,0.911671402,0.991793453,1.155132777,1.044571924,0.968437366,0.96036971,1.188964684,0.923480583,0.923201747,0.974788222,1.199001543,1.080430425,0.10651803,7.332421149,69.998,0.242312035,-0.363340798,-1.820905283,-1.684339025,-1.673852186
boat_1,boat_3,0.944546772,0.959051037,1.27662573,1.249569637,0.319425496,1.172009971,0.798537708,1.132678683,1.225859775,1.284087531,0.749684644,1.004615481,0.738332432,1.289223838,0.523267661,0.837769763,0.515326076,1.117716145,1.065402638,1.324632856,0.21638167,9.251794405,81.757,-0.463178402,-1.574136053,0.049668277,-1.513037731,-1.145183426
boat_1,boat_4,1.045905921,1.197569245,1.145812127,1.298661158,1.697543353,0.877788554,1.453159038,1.186992176,0.954076132,0.90569586,1.246257766,1.284853573,0.818481766,1.050402856,1.179443202,0.991319059,1.026715373,1.139427876,1.04964342,1.149740996,0.1671851,9.725308651,98.589,0.039401143,-1.152396147,-0.787968298,-1.470777267,-0.388439436
boat_1,boat_5,0.892749289,0.951763712,0.945334622,1.039566398,1.448553399,0.964929001,0.994145488,1.112658762,0.841438592,0.791342548,0.532186264,0.776963296,0.764854348,0.692945931,0.870700501,0.707669509,0.891056452,0.940318313,0.599124512,0.762425275,0.23574054,14.65801121,94.136,-0.720011216,-1.43457968,0.379278605,-1.03054068,-0.588640302
boat_1,camera_1,1.065390462,1.038233495,0.882025595,0.998265049,1.773987021,0.854092099,1.550052798,1.091703433,1.07717879,1.013009182,1.125414543,1.189463902,1.23959567,1.066379999,1.173769286,0.979999866,1.345584384,1.115318729,1.330124868,1.203107372,0.2953898,38.91392122,125.38,0.136013357,1.063474274,1.394886031,1.134264294,0.816047746
boat_1,camera_2,0.800079538,1.000993769,0.817757533,0.793156864,0.383358531,0.75423231,0.96407583,0.935018799,0.994367078,0.817209645,0.865743399,0.980302104,0.640863014,0.95305227,0.867201431,0.75158155,0.767051583,0.861744468,1.234721504,0.841165353,0.2470344,26.14409404,93.383,-1.179505222,-2.087012969,0.571571487,-0.005424359,-0.622494165
boat_1,camera_3,1.034667376,0.891670521,1.165150359,1.135310834,0.804419358,1.109637588,0.67399008,1.081139748,0.818269098,0.761660657,0.984452566,0.944274388,1.119598358,1.014768373,1.30582635,0.811968421,1.090166393,1.091815225,0.888130179,1.188669016,0.288361,21.27905691,93.421,-0.016324096,0.432057235,1.275211429,-0.439621904,-0.620785737
boat_1,camera_4,0.908990874,0.874158785,1.252342615,1.162797811,1.106004229,0.755422756,0.773092521,0.846816,0.785854387,0.871718403,0.978853851,1.069826735,0.813038483,1.050857262,1.549430973,1.046931115,1.180019044,0.750992484,0.784269598,0.896520166,0.29862726,26.63641554,94.316,-0.639478887,-1.181038302,1.450008063,0.038514625,-0.580547745
boat_1,camera_5,1.023745729,1.121014987,0.966150227,0.982301916,1.768464912,1.220823536,0.955547267,1.121865397,0.76145973,0.960157517,1.164396689,1.256933038,0.964292155,1.161406508,0.827395578,0.841756371,1.002279214,0.919284799,0.879315294,1.023155218,0.2788639,15.53607492,121.04,-0.070478027,-0.385152594,1.113510759,-0.952174761,0.620927207
boat_1,car_1,0.968514633,0.846420913,1.198397943,0.914912347,1.206355841,0.909538189,1.078703065,0.970523507,0.939798913,1.110400103,1.102164554,1.046658349,0.67986055,0.804737469,1.145676383,0.870749147,0.94397695,0.969106393,1.050194038,0.9952542,0.23502505,13.35839481,100.12,-0.34433608,-1.8818108,0.367096443,-1.146529569,-0.319607743
