roi,R,skel_beta,cornet_s_beta,gbj_beta,skel_se,cornet_s_se,gbj_se,skel_beta_ci_low,cornet_s_beta_ci_low,gbj_beta_ci_low,skel_beta_ci_high,cornet_s_beta_ci_high,gbj_beta_ci_high
lPPC_spaceloc,0.009057942371781591,0.02412248540437866,-0.09692981932749015,-0.029544115214156917,0.08216131237440258,0.07858019189732328,0.061288514116277656,-0.1379836868285101,-0.2551325191337288,-0.1526819542863748,0.18681608666184138,0.0564698249798391,0.09430106304999135
rPPC_spaceloc,0.10941715621647374,0.3287811943186231,-0.015078580903299929,0.03941645861303215,0.07984719417341248,0.07953394591798899,0.05464764686191405,0.16134420871460853,-0.1667694625802649,-0.0672139364978643,0.48350410372192143,0.145140613216839,0.1468159671214534
lAPC_spaceloc,0.00547957335420679,0.03927248570655244,-0.040063152019169004,-0.06464325118051634,0.0800423369801753,0.08210950567260795,0.059156930038366674,-0.12075519133631074,-0.1924884764343003,-0.18517360268505478,0.19350893929205995,0.12170680210818907,0.05022361247522395
rAPC_spaceloc,0.011834617965130523,0.14185114201924673,-0.0694278057641737,-0.002464224819177935,0.07691793887934595,0.07770348122516099,0.06294069559078042,-0.006921904910869566,-0.22233316419717356,-0.12778376766875166,0.29089309409657366,0.08198800146881718,0.1196720795604872
lLO_toolloc,0.07765385958576243,0.1713137099759473,0.13539021704573967,-0.004606926297145852,0.06809190040942889,0.07483137678256009,0.06263267947568729,0.03760070573673738,-0.008175382708315207,-0.1255637322919202,0.30736781023509896,0.28707997888893816,0.11966205011879485
rLO_toolloc,0.026604971419004197,0.04225180028518306,0.12931166028460914,0.00830058974695519,0.07810759857293433,0.07951129861364042,0.0627443551587977,-0.11253260352770278,-0.026837645617371148,-0.11751054831908991,0.19221695016640405,0.28494751948723773,0.12729546049744447
