roi,R,skel_beta,cornet_s_beta,gbj_beta,skel_se,cornet_s_se,gbj_se,skel_beta_ci_low,cornet_s_beta_ci_low,gbj_beta_ci_low,skel_beta_ci_high,cornet_s_beta_ci_high,gbj_beta_ci_high
lPPC_spaceloc,0.020009320872847014,0.051138500077760725,0.10612544715597422,-0.014569609997735537,0.07962602739324656,0.07354571493042926,0.059383929131722635,-0.09873811550238096,-0.03705344643929675,-0.127659347879634,0.2124156128797922,0.2543099352058219,0.10241255030183574
rPPC_spaceloc,0.07991781768088013,0.24258752504052142,0.03617030318395838,0.04389989361430453,0.0760371050046436,0.07713561143411699,0.056506834173745676,0.09583301026298223,-0.11100855361226603,-0.06773532787876256,0.39797963740850856,0.18654489415134354,0.15252868672449785
lAPC_spaceloc,0.007851558097132783,0.08558022992963273,0.006272810528092573,-0.005460867450987629,0.08234749734388463,0.08010941078287713,0.05922410130396284,-0.07019177007457915,-0.15216114750413606,-0.12039493489072042,0.2481900229544713,0.16171618791798528,0.11034470437509368
rAPC_spaceloc,0.041601131976458205,0.15125959505465972,0.06564742869653006,0.010249053671232057,0.07697576190270068,0.07453398066059169,0.0620277731148321,0.004409195994900582,-0.07745427701633527,-0.11163280222668824,0.3024086134731258,0.21216052618268627,0.13120453563385737
lLO_toolloc,0.21923502314161414,0.23405191687325982,0.24762611913299726,0.07813740481730796,0.06553477567654907,0.06455991133866253,0.057109213895556545,0.10636216238223548,0.12550845804308872,-0.0328989592527448,0.3655787700174653,0.3718141255612089,0.18842436393320067
rLO_toolloc,0.14531431805201178,0.2536483612740489,0.13693957409449897,0.060952965861570264,0.07848304393142996,0.07908600523632811,0.05514890563146354,0.1039904754443559,-0.01951231665177539,-0.048983773206503385,0.4122784022443514,0.2911692480118611,0.1704196830741628
