stim1,stim2,lLO_toolloc,lPPC_spaceloc,lAPC_spaceloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPPC_spaceloc,rAPC_spaceloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc,cornet_s,skel,gbj,lLO_toolloc_standard,rPPC_spaceloc_standard,cornet_s_stnad,skel_stand,gbj_stand
boat_1,boat_2,1.109191242,0.979344866,1.100296085,1.123290041,1.040138161,1.275068501,1.08246772,1.05468858,1.155163873,1.051842487,1.048093567,1.242819399,0.10651803,7.332421149,69.998,0.474811972,0.14705677,-1.820905283,-1.684339025,-1.673852186
boat_1,boat_3,0.891964976,1.233527959,1.193059789,1.169821471,1.117813221,0.950224101,0.646445085,1.052758434,1.133220806,1.124835578,1.008113062,0.920453701,0.21638167,9.251794405,81.757,-0.974951074,0.132052721,0.049668277,-1.513037731,-1.145183426
boat_1,boat_4,1.057482568,1.111577212,1.11296639,1.102368751,1.021990448,0.998968187,1.018158575,0.961271601,1.046806498,1.014445108,1.197589144,1.208844271,0.1671851,9.725308651,98.589,0.129709485,-0.579122984,-0.787968298,-1.470777267,-0.388439436
boat_1,boat_5,0.748616088,1.03804226,0.986529077,1.074883667,1.149354699,0.828434049,0.574564733,0.807965395,0.843374347,0.871162514,0.974848092,0.913677808,0.23574054,14.65801121,94.136,-1.931658218,-1.770853484,0.379278605,-1.03054068,-0.588640302
boat_1,camera_1,0.992163554,1.029094584,1.050843011,1.08364587,1.167827898,1.324737496,1.108304859,1.097878507,1.126219359,1.143432285,1.21159564,1.174615167,0.2953898,38.91392122,125.38,-0.306228095,0.482794994,1.394886031,1.134264294,0.816047746
boat_1,camera_2,0.749403583,0.909255753,0.80011581,0.898412278,0.819740886,0.914290248,0.87011847,0.773972524,0.949593373,0.893091053,0.683082304,0.968384902,0.2470344,26.14409404,93.383,-1.926402495,-2.03509811,0.571571487,-0.005424359,-0.622494165
boat_1,camera_3,0.95587622,1.100296099,1.065383974,1.061313735,0.802430677,1.041965081,0.885976828,0.93596993,0.987298624,0.946856964,0.837252537,1.06380837,0.288361,21.27905691,93.421,-0.548408918,-0.775806301,1.275211429,-0.439621904,-0.620785737
boat_1,camera_4,0.955821823,1.004459708,1.13384236,0.782971833,0.775649544,0.891733265,0.943056527,0.881024156,1.088499215,0.970889176,1.116732229,0.96950942,0.29862726,26.63641554,94.316,-0.548771962,-1.202928962,1.450008063,0.038514625,-0.580547745
boat_1,camera_5,1.096426142,0.970362255,0.976276645,1.099721697,0.849186289,0.868736311,1.057196673,0.904238499,1.040024816,1.001515547,0.953556858,1.034663656,0.2788639,15.53607492,121.04,0.389617992,-1.022471554,1.113510759,-0.952174761,0.620927207
boat_1,car_1,1.09556097,1.019329488,0.936928448,1.117884808,0.969834079,1.097147091,1.195735824,0.966143855,0.984520208,1.01810635,1.133125695,1.09071794,0.23502505,13.35839481,100.12,0.383843854,-0.541248368,0.367096443,-1.146529569,-0.319607743
boat_1,car_2,0.97191182,1.109055406,1.038660498,0.933485534,0.887030783,1.01278284,0.781684731,0.86638322,0.944071156,0.944240042,1.176206829,1.101228412,0.2474765,13.14346451,90.397,-0.441387697,-1.316740727,0.579098823,-1.165711788,-0.756740693
boat_1,car_3,1.209244522,1.209264846,1.316769641,1.183867032,0.96172501,1.172813096,1.336713652,1.168710097,1.202782414,1.089063245,1.242835949,1.278551493,0.20666444,11.89656577,124.08,1.142565236,1.033406533,-0.115780396,-1.276995702,0.757601501
boat_1,car_4,1.136820888,1.061311894,1.161759993,0.989127839,1.132411441,0.999949361,1.244802156,0.865329869,0.998908757,0.961591367,1.313562325,1.015634674,0.1944062,5.455690045,97.373,0.659211587,-1.324928984,-0.324493121,-1.851834568,-0.443109154
boat_1,car_5,0.845411107,0.674149495,0.832183488,0.833997383,0.649996505,0.721748063,0.853047481,0.718128867,0.857454338,1.069617213,1.110450437,0.841303665,0.22256434,9.684720119,128.35,-1.285650513,-2.469200492,0.154936399,-1.474399735,0.949574935
boat_1,guitar_1,1.179983604,0.975773514,0.900083651,0.90251415,1.090708211,0.932229429,1.13655575,0.93013581,0.904371975,1.044664739,0.970978482,0.766566812,0.30395186,37.61651546,100.32,0.94727855,-0.821158012,1.54066641,1.018472702,-0.310616013
